,Description,Classificació
1623,La Comunitat Valenciana lidera la llista de punts negres en carreteres convencionals. Concretament la via interurbana que comunica Sant Vicent del Raspeig amb Sant Joan d'Alacant i a la que enllaça la zona de costa a la Safor són els trams quilòmetrics amb més accidents de tot l'Estat.,TRANSPORTS I COMUNICACIONS
1624,"La llei valenciana del canvi climàtic i transició ecològica vol frenar l'increment de les emissions a la Comunitat Valnenciana que s'ha registrat en els últims anys. Entre les propostes més destacades, està la fiscalitat verda, els plans urbanístics energèticament autosuficients i un fons per a la transició ecològita. L'esborrany de la norma, s'ha presentat esta setmana.Fiscalitat verda, plans urbanístics autosuficients energèticament i un fons per a la transició ecològica. Davant de l'increment de les emissions a la Comunitat Valenciana els últims anys, la llei valenciana del canvi climàtic i transició ecològica vol frenar el pas, i iniciar la marxa en la direcció contrària. Estos són els detalls de l’esborrany de la futura llei que s'ha presentat esta setmana.  TRANSPA 1. Els nous plans urbanístics hauran de reservar una part del sòl per a produir energia renovable que els permeta ser autosuficients des del punt de vista energètic. És una de les grans novetats de l’esborrany de la futura llei del canvi climàtic.T2 Eltransport i la mobilitat suposen el 42% de les emissions de la Comunitat Valenciana. Per a frenarles, introduïx la fiscalitat verda. Des de 2023, elsvehiclesque no siguen lliures d’emissions pagaran unimpostd'acord amb elsgrams de CO2 per quilòmetreque emeten. Planteja un impost similar per a les embarcacions i un altre per a zones de gran afluència de vehcicles, com els centres comercials.T3 Amb estos tributs s’alimentarà un fons per a la transició ecològica. Servirà per a finançar una millora de la xarxa de la càrrega elèctrica o facilitar ajudes a la compra de vehicles no contaminants.T4 La nova llei aposta també per la formació en educació ambiental i la creació de nous perfils dins del marc de l'economia verda. Són mesures d’un esborrany que encara ha de fer un llarg recor",MEDI AMBIENT
1625,"Els ecologistes donen la benvinguda a este esborrany de la llei de canvi climàtic tot i que consideren que arriba 10 anys tard i que hauria de fixarse objectius més ambiciosos. L'associació valenciana del vehicle elèctric aplaudeix l'aposta per este sector mentre que la indústria de l'automoció no considera encertat gravar la compra de vehicles de combustió a partir de 2023.Els ecologistes volen un pla d'eliminació DE LES centrals nuclears i de cicle combinat EL 2019 ES VAN VENDRE A LA COMUNITAT VALENCIANA 570 VEHICLES ELÈCTRICS. ENGUANY, 270 EL 40% DE LA COMUNITAT VALENCIANA PERTANY A LA XARXA NATURA 2000",MEDI AMBIENT
1627,"Vegem ara com afecta la pobresa a la població de la Comunitat Valenciana. Segons l'últim informe sobre l'estat de la pobresa de 2019 presentat per la Xarxa Europea de la Lluita contra la Pobresa i l'Exclusió Social.El 26% de la població de la Comunitat Valenciana està en risc de pobresa. D'este percentatge, quasi un 6% estaria representat per persones en situació de pobresa extrema. Per sexes, les més desafavorides són les dones. Hi ha quasi un 4% més de dones pobres que d'homes al territori. Pel que fa al llindar de la pobresa a la Comunitat Valenciana, es fixa en els 8MIL249 euros, són 622 euros menys que la mitjana nacional, que fixa el llindar de la pobresa en els 8.871 .Si ens fixem en la renda mitjana, la Comunitat Valenciana està 1.180 euros per davall de la mitjana nacional. En primera posició està el País Basc, que supera en 3MIL310 euros la mitjana i en la cua se situa Extremadura, amb quasi 3MIL euros menys de renda que la mitjana nacional. Per a donar una solució a les persones que patixen la probresa al nostre país, el govern central ha aprovat, l'ingrés mínim vital.POBRESA PER SEXES24,1% HOMES 27,7% DONESGràfic 3LLINDAR DE POBRESAComunitat Valenciana 8.249 € anualsNacional 8.871Gràfic 4 DIFERÈNCIA DE RENDA MITJANAMitjana nacional 11.412 € Comunitat Valenciana1.180 € País Basc +3.310 € Extremadura2.909 €Font: EAPN Espanya ",SOCIETAT
1628,"Guardamar serà l'únic municipi del Baix Segura que obrirà les platges dilluns. Per a garantir la salut pública, la Creu Roja desplega una campanya d'informació prèvia per a informar de les normes que s'han de seguir als 13 quilòmetres de litoral i les 11 platges del municipi. Entre les principals novetats, la distància social, la prohibició dels jocs i de fumar. Guardamar del Segura es prepara en primera línia per a la reobertura de les platges dilluns.Per això, la Creu Roja desplega una intensa campanya d'informació perquè les 200.000 persones que solen omplir la platja els caps de setmana d'estiu respecten les distàncies.JOSE LUIS HERNÁNDEZ, coordinador de Platges de la Creu RojaI és que s'ha descartat la parcel·lació.SILVESTRE GARCIA, regidor de platges ""no ho véiem operatiu""Per això, s'apel·la a la responsabilitat individual.SUE, veïna de Rojals ""Han pres les mesures correctes, hi ha una taxa molt baixa de morts, estic orgullosa de viure ací""JOSE ANTONIO LÓPEZ, resident a Guardamar del SeguraLes 11 platges de Guardamar seran les primeres del Baix Segura a obrir.SPEECH MARC GOMARNoves normes que se sumen a les ja existents i que a Guardamar vetlen perquè se seguisquen com cal.",TURISME
1629,"El govern espanyol podria avançar l'entrada de turistes internacionals a la segona quinzena de juny a través de corredors segurs.De moment, es treballa ja en estos projectes a les illes Balears i Canàries, però la idea podria estendre's a altres territoris, com ara la Comunitat Valenciana. Turistes alemanys i nòrdics serien els primers a visitarnos, segons ha explicat la ministra Reyes Maroto.De moment, es treballa ja en estos projectes a les illes Balears i Canàries, però la idea podria estendre's a altres territoris, com ara la Comunitat Valenciana. Turistes alemanys i nòrdics serien els primers a visitarnos, ha explicat la ministra Reyes Maroto.RUTES SEGURES PER AL TURISME AL JUNY",TURISME
1630," La jugadora francesa Sandie Toletti és el primer fitxatge per a reforçar el Llevant la pròxima temporada. La migcampista té 24 anys i prové del Montpeller. És internacional amb França i en les seues xarxes ja s'ha acomiadat del seu exequip. Ha firmat per 2 temporades en què esperem gols, com este.Sandie Toletti, primer reforç per al Llevant",ESPORTS
1631,"Entre les novetats que dilluns ens porta la fase 2, està l'obertura de manera parcial dels centres educatius per a atendre tutories i classes col.lectives amb un màxim de deu alumnes per aquells que es titulen enguany. Els pares i mares han donat suport a l'obertura dels centres però, el professorat diu que encara es prompte per atendre els menors amb garanties.per a fer tutories amb cita prèvia i classes col·lectives presencialsamb un màxim de deu alumnes. Només hi podran acudir els alumnes delscicles de sisé de primària, quart de l'ESO, segon de batxillerat i segons dels cicles formatius de FP.I l'horari quedarà limitat de 9 a una de la vesprada.Conseller d'Educació Vicent MarzàLa tornada a les aules va ser el tema a debat d'anit en el programa 'La qüestió' d'À Punt Mèdia. El conseller Vicent Marzà va assegurar que cada centre disposa d'un pla de contingència específic per a garantir la seguret del seu alumnat. Però per al Sindicat de Treballadores i Treballadors de l'Ensenyament hi ha encara problemes que dificulten el treball amb garanties dels professors.Marc Candela STEPVTot i que l'ensenyament a distància continuarà sent prioritari, mantindre el contacte entre alumne i professor amb garanties sanitàries i en casos especials és molt important per a les associacions de pares i mares.Màrius Fullana FAMPANi les escoletes ni l'educació infantil obr",ENSENYAMENT
1632,"Demà, a partir de les 11 i 10 del matí, tenen una nova cita amb la televisió d’ À punt. Serà l'últim partit d'Esports de llegenda i reviurem el 4 d’ octubre de 1995. El València de Luis Aragonés s’imposava a Mestalla al Reial Madrid per 4 gols a 3. A la fi d’eixa temporada, els valencianistes acabarien sent subcampions de lliga i Mitjatovic fitxaria pel club blanc.",ESPORTS
1633,"El Partit Popular ha reclamat el reallotjament de les persones que viuen als assentaments que hi ha a la ciutat de ValènciaConsidera que l'Ajuntament no està tenint cura d'estes persones, que viuen en condicions inhumanes, en molts casos sense llum ni aigua i amb menors al seu càrrec. A més, demana una major atenció que garantisca els serveis bàsics de les més de 600 persones que viuen en esta situació als barris de la ciutat.EL PP DEMANA ATENCIÓ PER A LES PERSONES QUE VIUEN EN ASSENTAMENTS",SOCIETAT
1634,Quarta nit de disturbis als Estats Units després de la mort d'un home negre que estava en custòdia policial. Una mort davant les càmeres que ha encés les protestes al país des de Minneàpolis on van ocórrer els fets a Nova York i al mateix Washington. L'estat d'emergència no ha pogut contindre la indignació de milers de persones.anit,JUSTÍCIA I ORDRE  PÚBLIC
1636,"El rei Felip VI agraïx la tasca feta pels militars en la crisi del coronavirus en el Dia de les Forces Armades més atípic.Amb mascareta i per videoconferència, el monarca ha fet un reconeixement a la seua labor i dedicació, centrada especialment en la desinfecció de centres de majors, centres sanitaris i construcció d'hospitals de campanya. En l'acte, en què també ha estat la ministra de Defensa, Margarita Robles, s'ha guardart un minut de silenci en record de les víctimes de la pandèmia.DIA DE LES FORCES ARMADES ATÍPIC",DEFENSA
1637,"Dilluns tornen també els centres comercials. Màxima desinfecció, distanciament personal i mascaretes. A estes hores, s'enllestix una obertura més que esperada.","ECONOMIA, COMERÇ I FINANCES"
1638,"La pandèmia de coronavirus ja ha costat la vida a més de 365.000 persones a tot el mónEls Estats Units encapçalen la llista de victimes amb 102.000 morts. Preocupa especiament la situació al Brasil, que marca la segona posició mundial en el ranking de contagis, però avançant molt rapidament. Només en el ultimes 24 hores han registrat 27.000 nous positius.En contraposició, Portugal entra en la tercera fase, però la forma en que ho fa evidencia com de delicada la situació en esta lluita:dilluns obriran a tot el pais centres comercials i restaurants. Peròaixò encara no passarà a Lisboa: el primer ministre de Portugal ha confirmat un repunt de casos en l'area metropolitana i encara es mantindrà uns dies en fase dos.LA PANDÈMIA JA HA MATAT MÉS DE 365.000 PERSONES",MEDICINA I SANITAT
1639,"L'edició 20 del festival Xàbia Folk s'ha celebrat tot i la pandèmia. Amb les particularitats del moment i amb un cartell absolutament valencià, Anit s'emetia per les xarxes socials de l'Ajuntament de Xàbia un concert en directe en què participaren Pep Gimeno 'Botifarra', Miquel Gil, Feliu Ventura i Andreu Valor. Amb els seus grans èxits i amb la denominació del 'Concert confinats; Una Xàbia elecció'.""Concerts confinats: una Xàbia elecció""",MÚSICA
1640,"Enmig d'esta greu crisi interior, Donald Trump anuncia més accions contra la XinaLa preocupació és gran especialment a Hong Kong, l'excolònia britànica, en ebullició des de fa mesos per l'aplicació per part de la Xina d'una llei de seguretat que retalla llibertats. El president nordamericà ha ordenat eliminar els beneficis comercials a Hong Kong i sancionar la Xina. La primera conseqüència podria ser l'expulsió d'estudiants xinesos dels Estats Units. Trump ha determinat, a més, que s'investigue les companyies xineses que cotitzen en les borses del país.TRUMP CASTIGA LA XINA A TRAVÉS DE HONG KONG",RELACIONS INTERNACIONALS
1642,"La pandèmia ha frenat el frau derivat del'economia submergida. Ho ha dit el Conseller d'Hisenda, Vicent Soler.","ECONOMIA, COMERÇ I FINANCES"
1643,"Amb el canvi a la fase 2, des de dilluns tornen els entrenaments a les piscines cobertes per als esportistes federats. La natació i el waterpolo, reprendran l'activitat al seu hàbitat natural encara que amb certes restriccions. Les piscines cobertes reobriran per als entrenaments però amb algunes condicions, com ara, que l'activitat es faça sempre amb cita prèvia i per part d'esportistes federats, que només facen un ús individual de les instal·lacions, sense compartir materials ni tindre cap contacte físic, i amb un màxim del 30% d'ocupació. Unes mesures que, tot i l'avanç, en el cas del waterpolo, encara queden lluny de la normalitat.tall ENTRENEEntrenaments que han sigut només en línea o a mar oberta. Les possibilitats ara s'incrementen.tall JugadoraCircumstàncies particulars que encara que no siguen perfectes, permetran tornar a l'aigua a les instal·lacions i a poc a poc reprendre els entrenaments de natació i waterpolo.TALL entene",ESPORTS
1644,Ajuntaments i veïns reclamen al govern espanyol el projecte per a segellar definitivament els pous del magatzem de gas Castor. L’empresa Enagás ha superat ja el termini de sis mesos fixat per a tramitarlo. Temen que la crisi en relegue el desmantellament.L’Ajuntament de Vinaròs ha aprovat una moció amb que demana ser part interessada en el procés.TALL REGIDOR VINARÒSEl segellament és només el pas previ al desmantellament de la plataforma que pot durar cinc anys. Els veïns no es fien del tot d’un projecte anunciat a les portes d’unes eleccions.BATERIA TALL VEÏNSI mentre la factura continua creixent pel manteniment de les instal·lacions.TALL SENADOR COMPROMÍSCostos que demanen assumisca la concessionària amb els 1.350milions d’euros que va rebre en indemnitzacions. Escal UGS ha recorregut davant del Suprem el desmantellament mentre un jutjat instruix el seu cas per irregularitats en la concessió. No han volgut fer ninguna declaració ,ENERGIA
1645,"A Alacant, els banyistes hauran d'accedir amb mascareta i calcer, fins que arriben a l'arena, per les passarel·les que han habilitat per a l'entrada o eixida.Ja han començat a fixar les estaques que demarcaran cinc espais. Un reservat per a passejar i accedir a la mar, tres per a prendre el sol i altre per a l'esport. Cinquanta policies locals i efectius de Protecció Civil i la Creu Roja informaran i comprovaran que es complisquen les mesures de seguretat i distanciament ajudats per un dron.LES PLATGES ES PREPAREN PER A REBRE ELS BANYISTES",TURISME
1646,Els mercats ambulants que se celebren els caps de setmana a les diverses poblacions de tot el territorri comencen a poc a poc a tornar a la faena. Hui ha obert les portes el mercadet extraordinari de Burjassot amb 2 de les 6 parades que són habituals els dissabtes. El mercadet està en la mateixa ubicació perquè es garantisquen les distàncies de seguretat entre les parades. També s'ha posat gel hidroalcòholic en les dos entrades al recinte perquè els consumidors es desinfecten les mans.ELS MERCATS AMBULANTS TORNEN A LA FAENA,"ECONOMIA, COMERÇ I FINANCES"
1647,"Els parlem ara d'una nova tècnica d'evasió d'impostos a la Comunitat Valenciana. Es tracta d'empadronarse ficticiament en altres comunitats autònomes acusades de dúmping fiscal per a pagar menys. L'agència Valenciana contra el Frau Fiscal ha recuperat ja més de 100 milions d'euros de l'impost de succesions i de transmissions patrimonials.Els empadronaments falsos de valencianes i valencians en altres comunitats autònomes, acusades de dúmping fiEl fals empadronament de valencians en altres comunitats autònomes, acusades de díumping fiscal, és una de les noves tècniques d'evasió d'impostos. L'any passat, l'Agència Valenciana contra el Frau Fiscal va recuperar més de 100 milions d'euros de l'impost de succesions i de transmissions patrimonials, entre altres. El fals empadronament de valencians en altres comunitats autònomes està darrere de part del frau fiscal detectat l'any passat. TALL VICENT SOLER, CONSELLER D'HISENDA I MODEL ECONÒMIC: ""GENT RICA AMB PATRIMONI AMB POSSIBILITAT DE FIXAR L'ADREÇA FISCAL EN ALTRA COMUNITAT AUTÒNOMA. EL CAS PARADIGMÀTIC ÉS EL DE MADRID"" En total s'han recuperat més de 100 milions d'euros, la majoria de l'impost de successions, transmissions patrimonials, donacions i actes jurídics documentats. TALL VICENT SOLER: ÉS L'ÚNICA MANERA DE PODER LLUITAR CONTRA EL COVID ADEQUADAMENT.SI NO TENS DINERS QUÈ FEM AMB LA SANITAT PÚBLICA, I AMB L'EDUCACIÓ, I AMB LES AJUDES SOCIALS?"" Per a recuperar els diners, l'Agència Valenciana contra el Frau està utilitzant noves tècniques estadístiques. TALL VICENT SOLER: ""HI HAN TÈCNIQUES MOLT SOFISTICADES ESTEM CREUANT DADES AMB L'AGÈNCIA TRIBUTÀRIA ESTATAL, EL INTITUT NACIONAL D'ESTADÍSTICA PER CREUAR UNA SÈRIE DE DADES PER INTENTAR DESCOBRIR QUI HAURIA D'ESTAR PAGANT I NO ESTÀ PAGANT"" Segons Soler, la lluita contra l'evasió fiscal i la progressivitat dels impostos són les ei","ECONOMIA, COMERÇ I FINANCES"
1648,"El servei d'atenció telefònica de la Xarxa de Centres Dona de la Generalitat ha rebut 145 telefonades diàries des que es va decretar l'estat d'alarma.En total són vora 10MIL les telefonades rebudes.El 20 per cent, són de persones de l'entorn de dones en possible situació de maltractament, el que evidencia la conscienciació de familiars, amics o veïns de la necessitat de denunciar. En este període també s'han fet més de 200 actuacions presencials en situacions de més gravetat.145 TELEFONADES DIÀRIES A LA XARXA DE CENTRES DONA DURANT LA PANDÈMIA",SOCIETAT
1649,"Detinguts dos homes a Sogorb acusats d'agredirl'exparella d'un dels presumptes agressors.Estan acusats d'entrar en la casa de la dona, emmordassarla, agredirla i immobilitzarla durant 20 hores. Van ser els familiars de la víctima els qui van donar la veu d'alarma. Els agents la van trobar inconscient. L'home tenia una orde d'allunyament en vigor en el moment dels fets. Els dos acusats han ingressat en presó provisional després de passar a disposició judicial. Recorden que el 016 és el número gratuït d'atenció a les víctimes de la violència de gènere.AGREDIDA I EMMORDASSADA DURANT 20 HOREES",JUSTÍCIA I ORDRE  PÚBLIC
1650,"La gestió d'este ingrés ha obert discrepàncies entre la Generalitat i el Govern Espanyol. De moment, no podrà gestionarse des de la Comunitat Valenciana.",POLÍTICA
1651,"El xicotet comerç dels pobles confia que la reobertura a partir de dilluns dels centres comercials no afecte massa els seus negocis. Són la inevitable competència al comerç de proximitat. Tot i això, els comerciants mantenen l'esperança que la gent preferirà la seguretat i el bon tracte de les botigues, abans d'anar a les grans superfícies.Localitats com Vilareal recuperen el pols quotidià en sintonia amb els seus comerços.El sector no amaga que costarà arribar al nivell de vendes de la temporada passada. A més, ara hauran de tornar a competir ambles grans superfícies.TONI MILIÁN ""en esta segona fase encara la gent tindrà por d'anar als grans centres per les aglomeracions"" COMERCIANT DE VILAREALEncara així, confien que els clients es decantaran per la seguretat que oferix el xicotet comerç.CARMEN GIL PRESIDENTADE LA UNIÓ DE COMERCIANTS VILAREALI qui ho tenen molt clar són els consumidors.NESTOR ARENÓS ""Jo em quede amb el nostre comerç i no haver de vore cartells es compra o es lloga"" VEÍDE VILAREAL . "" jo no aniré a la salera, em quede al poble, que ací tinc més garanties""MARI CARMEN AGUILELLA"" preferisc comprar a les botigues i que els diners siguen per a la localitat"" VEÏNA VILAREALCaldrà esperar a dilluns per vore la resposta ciutadana a les grans superfícies.","ECONOMIA, COMERÇ I FINANCES"
1652,"A mesura que s'acosta la calor, els equips de protecció individual ocasionen problemes en el personal sanitari valencià, que està patint els primers casos de colps de calor. Des del sindicat mèdic es reclama una reducció del temps de treball amb els EPIS, per a garantir la bona salut dels professionals.L'elevada temperatura corporal que produïxen els equips de protecció individual està provocant els primers casos de colps de calor en els sanitaris valencians. El sindicat mèdic reclama que els temps de treball amb els EPI siguen més reduïts per a facilitar l'assitència als malats  Encara no sabem com afectarà la calor al coronavirus, però sí que sabem com està afectant el personal sanitari, obligat a utilitzar equips de protecció individual.tall ""el calor va a endurecer las condiciones laborales porque además de nnuestra ropa habitual y las medidas de prtección básicas a eso se añade cuando tengamos que colocarnos los equipos de protección individual, lo cual va a hacer que las condiciones laborales sean bastante más duras de lo habitual""Els EPI dificulten la pèrdua de calor corporal, el que suposa una exposició a estrés tèrmic, que es multiplica quan la temperatura és elevada.El Sindicat Mèdic de la Comunitat Valenciana ja ha reportat els primers casos de metges, infermers i infermeres i tècnics d'ambulàncies que patixen baixades de tensió i colps de calor quan estan atenent malalts. Per això reclamen que els temps de treball equipats els equips de protecció siguen més reduïts.tall ""se convierte en un elemento que distorsiona enormemente las condiciones laborales, obliga por ello a reducir considerablemente los periodos de tiempo en los que el trabajador puede llevar colocado este dispositivo y por lo tanto dificulta enormemente la actividad asistencial""Este cap de setmana, el personal sanitari, enfundat en els EPI, hau",TREBALL
1653,"Al voltant de 100MIL famílies valencianes podran beneficiarse de l'ingrés mínim vital que recentment ha aprovat el Consell de Ministres. Esta nova ajuda del govern espanyol s'haurà de combinar al nostre territori amb la renda valenciana d'inclusió. Les llars valencianes que travessen més dificultats econòmiques tindran una ajuda per a poder tirar avant amb les seues vides, a partir de dillluns. La previsió apunta que al voltant de 100.000 famílies valencianes poden cobrar l'ingres mínim vital. Una primera aproximació que ha fet el president del grup parlamentari socialista al Congrés dels Diputats, Alejandro Soler.tallet amb la xifraUn pas important, segons el diputat d'Elx, que dignificarà, ha dit, al conjunt de l'estat espanyol, 850.000 famílies i més de dos milions i mig de ciutadans i ciutadanes.tallet dirigido a fam niños, menores vrdaderas dificultadesAlejandro Soler ha destacat el treball del consell i de la vicepresidenta Mónica Oltra amb la renda d'inclusió bàsica que ja va implantar la Generalitattallet agradezco trabajo puig vicepresident oltraMoltes famílies amb menors als seu càrrec, ha recordat Soler, entraran automàticament, d'ací a uns dies, al paquet de beneficiaris d'este ingrés.",POLÍTICA
1654,"A la Comunitat Valenciana hi ha 5MIL500 persones afectades per esclerosi múltiple, el 70% dones. Hui es commemora el seu dia mundial; una jornada en què reivindiquen que la seguretat social els cubrisca la rehabilitació i els tractaments psicològics que necessiten molts pacients.TALL Bonaventura Casanova, Responsable Unitat Neuroimmunologia Hospital La FeCSUR Esclerosi MúltipleEn tres anys es tindran resultats i els assajos es faran a La Fe, on també una tecnologia puntera permet reduir a la mitat el temps de detecció del fracàs terapèutic.TALL Bonaventura CasanovaPerò hui també és un dia per a les reivindicacions.TALL Asunción Lillo, Associació d'Esclerosi Múltiple de la Comunitat ValencianaHui no han pogut ajuntarse per a celebrar este dia, però ho han fet des de les seues cases. ",MEDICINA I SANITAT
1655,"Fumar augmenta les probabilitats de contagi de la Covid19. Esta és la principal conclusió de l'anàlisi de diversos estudis arran de la setmana sense fum, que busca conscienciar sobre els perills del tabaquisme. Un hàbit que encara afecta el 25% dels valencians",MEDICINA I SANITAT
1656,"Demà reobrin les piscines per a entrenar de manera individual i amb cita prèvia. Pel que fa a les piscines públiques, ajuntaments com el de Nàquera,han decidit NO obrir este estiu per la complicació d'aplicar les mesures d'higiene. Obrir suposa establir un límit del 30% de l'aforament, desinfectar tot el recinte cada jornada, i tres neteges diàries, com a mínim, d'elements que toquem amb la mà com escales i baranes. A més de vigilar que es respecta la distància de seguretat. A les piscines privades de les comunitats de veïns cal vore qui i com regula els horaris.DEMÀ OBRIN LES PISCINES AMB MESURES D'HIGIENE",ESPORTS
1657,"Part de l'activitat esportiva als recintes tancats també torna a partir demà. No ho poden fer tots, perquè els gimnasos, per exemple, hauran d'esperar a la fase 3. Els centres que tornen a obrir, ho fan amb mesures reforçades d'higiene i aforament limitat.Després de dos mesos i mig tancat, Silvia torna a obrir el centre de iogaamb menys gent però amb més il·lusió si és possible.TALL 10'' 30% DEL AFOROSempre amb estrictes mesures d'higiene.TALL 6+4'''' entran con mascarilla, se desinfectan mano si pies dejan las cosas en el vestuario i van a la sala.Hi haurà dos metres entre els alumnes, i el material compartit es desinfecta després de cada ús.Un purificador d'aire i una màquina d'ozó són també mesures que s'hi aplicaran.Després de setmanes fent exercici en línia des de casa, Daniel per fi torna al seu centre d'entrenamentTALL 5+2'' han abierto con 2 personas, se echaba de menos, terminar el trabajo y venir aquí a desahogarmeEsta cadena de centres d'entrenament està especialitzada en grups reduïts, per la qual cosa poden adaptarse fàcilment a esta nova normalitat.TALL 9''Tot i que està situació els ha posat cap per avall, reben amb il·lusió el fet de poder tornar a posarse en marxa.",ESPORTS
1658,"En els esports, sorprenents i explosives declaracions del tècnic de l'Atalanta al diari la Gazzeta dello Sport. Gian Piero Gasperini, ha confessat que va viatjar a València amb símptomes evidents del coronavirus. L'equip italià havia vençut 4 a 1 en l'anada, disputada a Milà, un dels principals focus mundials de la pandèmia. Ni Gasperini ni l'Atalanta informaren el València o la UEFA. L'equip de Bèrgam va assistir a la cita amb un Mestalla tancat al públic. 5 dies després, es confirmaven 5 contagis al València.",ESPORTS
1659,"Amb l'avanç de la desescalada, els jutjats es preparen per a rebre la ciutadania i professionals de la justícia.Dijous que ve s'alcen els terminis processals que havien quedat paralitzats durant l'estat d'alarma, i també es reprenen les actuacions judicials. Advocats i procuradors valoren el treball de tots els agents implicats en els protocols de seguretat.tardarà a tornar a les sales de vistes. Els juís seran amb cita prèvia. Es donarà prioritat als que es van suspendre pel coronavirus. Tindran aforament limitat de persones a les sales i tots hauran d'utilitzar les mascaretes.En les 11 setmanes que la justícia ha estat atenent només els serveis essencials han quedat pendents més de 20.000 demandes als despatxos i prop d'un miler de juís suspesos. ",JUSTÍCIA I ORDRE  PÚBLIC
1660,"Però el partit contra l'Atalanta no és l'única polèmica que envolta el València. Este mateix matí, Ezequiel Garay ha llegit un dur comunicat a través de les xarxes socials. El central argentí denuncia la campanya de descrèdit que, segons ell, se li està fent des del club de Mestalla.Ezequiel Garay, jugador València CF ""NO HE REBUTJAT CAP OFERTA. NO N'HI HA HAGUT"" Ezequiel Garay, jugador del València CF ""DEFENDRÉ ELS MEUS DRETS LABORALS"" Ezequiel Garay, jugador València CF ""S'HA ORQUESTRAT UNA CAMPANYA DE DESCRÈDIT DES DEL CLUB""",ESPORTS
1661,"En uns moments compareixerà el President del govern espanyol, Pedro Sánchez, desprès de la dotzena reunió de presidents autonòmics.Ximo Puig ha posat sobre la taula la petició de la Generalitat per gestionar l'Ingrés Mínim Vital. Sánchez ha informat els líders autonòmics que sol·licitarà la sisena pròrroga de l'estat d'alarma, que donarà més pes a les comunitats per gestionar la tercera fase de la desescalada.SÁNCHEZ COMUNICA ALS PRESIDENTS LA NOVA PRÒRROGA",POLÍTICA
1662," I els teatres públics de la Comunitat Valenciana també alçaran el teló al llarg del més de juny seguint tots els protocols sanitaris. Actuacions de circ, música i teatre per concloure de forma simbòlica una interrompuda temporada. La primera actuació tindrà lloc el 12 de juny en l'Espai d'Art Contemporani de Castelló, amb un concert d'Enric Monfort. També eixe dia es reobri el Palau de les Arts amb un cicle de concerts a preus populars. A més de cara a l'estiu Cultura de la Generalitat està enllestint una programació a l'aire lliure que durà les arts escèniques per tot el territori valencià.ELS TEATRES PÚBLICS VALENCIANS ALCEN EL TELÓ",ESPECTACLES
1663,"Als Estats Units s'ha viscut la quinta nit de disturbis a diferents ciutats. La mort de l'afroamericà George Floyd quan estava en custòdia policial ha reviscolat les protestes de la població negra, que encara denuncia la creixent discriminació que patixen. Trump ha advertit que no consentirà el caos en el país i ha acusat els seus opositors d'instigar els disturbis.",JUSTÍCIA I ORDRE  PÚBLIC
1664,"On no estarà permés el bany a partir de demà és en les zones de bany naturali aigua dolça de la Comunitat Valenciana. De moment, encara es treballa en l'elaboració dels protocols de seguretat i l'obertura no està prevista fins a la fase 3. Té més detalls Teresa Violeta.",TURISME
1665,"Esquerra Republicana i el Partit Nacionalista Basc garantiran la majoria en la votació de la sexta pròrroga de l'estat d'alarma després de pactar amb els socialistes. L'acord preveu la recuperació de competències a les autonomies per a finalitzar l'últim tram de la desescalada.El president del govern espanyol planteja una nova i última pròrroga de l'estat d'alarma.TOTAL SÁNCHEZ???Una mesura necessària, argumenten, per a finalitzar el procés de desescalada, que mantindria l'estat d'alarma fins al 21 de juny.TOTAL SÁNCHEZL'executiu de Pedro Sánchez tindria ja garantits els suports en la votació al Congrés per a tirar avant la mesura. Els nacionalistes bascos votaran a favor després que el govern permeta a les autonomies l'exercici de les competències en la tercera fase de la desescalada.TOTAL AITOR ESTEBANTambé Esquerra asfaltarà el camí per a la nova pròrroga amb una abstenció. La condició: que Catalunya participe en la gestió del fons europeu de reconstrucció. Negociacions entre les quals també es troba Compromís, mentre que Ciutadans s'inclina pel suport.Els vots en contra ja anunciats: els de PP, Vox i Junts per Catalunya.PNB I ERC GARANTIXEN LA NOVA PRÒRROGA",POLÍTICA
1667,"El que encara és una incògnita és com serà el model educatiu en el pròxim curs escolar. En l'escenari actual, sense tractament ni vacuna contra la Covid19, els centres educatius asseguren que no es pot mantindre la distància física. En la nova realitat, la tornada a les aules es planteja amb diverses alternatives virtuals o semipresencials.L'altra alternativa és recuperar la modalitat 100% presencial. Però amb noves mesures que s’haurien d’implementar en infantil i primària.Les classes presencials evitarien fer més ampla la bretxa digital.TALL Juanvi Blázquez Garcés Psicòleg i orientador educatiu de la GVADos models que caldrà encaixar també amb les possibilitats de conciliació i teletraball de les famílies. ",ENSENYAMENT
1668,"Tornen els assajos per grups al Palau de la Música de València.A partir de demà l'orquestra de la ciutat reprendrà l'activitat en la nova normalitat, seran assajos per seccions on quedaran exclosos, per seguretat, els instruments de vent, que seguiran treballant de forma individual i no participaran en els pròxims concerts. La formació prepara actuacions per al juny i el juliol, però sense públic. Es gravaran i s'oferiran per diferents vies.ASSAJOS PER SECCIONS SENSE INSTRUMENTS DE VENT",MÚSICA
