ESPORTS% 95653
JUSTÍCIA I ORDRE  PÚBLIC% 39042
POLÍTICA% 30031
SOCIETAT% 23588
ACCIDENTS I CATÀSTROFES% 21180
FESTES I TRADICIONS% 13458
MEDICINA I SANITAT% 12099
ECONOMIA, COMERÇ I FINANCES% 12040
AGRICULTURA, RAMADERIA I PESCA% 8209
MEDI AMBIENT% 8067
FENÒMENS NATURALS% 8061
TRANSPORTS I COMUNICACIONS% 7762
TERRORISME% 6091
CONFLICTES ARMATS% 5946
CULTURA% 4684
MÚSICA% 4330
URBANISME I HABITATGE% 4092
TURISME% 4005
CINEMA% 3838
OBRES PÚBLIQUES I INFRAESTRUCTURES% 3817
TREBALL% 3776
ARTS% 3458
ENSENYAMENT% 3191
CIÈNCIA I INVESTIGACIÓ% 2981
RELIGIÓ% 2929
RELACIONS INTERNACIONALS% 2859
ESPECTACLES% 2396
MITJANS DE COMUNICACIÓ% 2018
INDÚSTRIA% 1939
ENERGIA% 1345
DEFENSA% 1225
GASTRONOMIA% 1013
LITERATURA% 613
HISTÒRIA% 605
ESPORTS | ESPORTS% 447
AGRICULTURA, RAMADERIA I PESCA | FENÒMENS NATURALS | TRANSPORTS I COMUNICACIONS% 1
ENSENYAMENT | ENERGIA% 1
ECONOMIA, COMERÇ I FINANCES | JUSTÍCIA I ORDRE  PÚBLIC | ENSENYAMENT | POLÍTICA% 1
JUSTÍCIA I ORDRE  PÚBLIC | RELIGIÓ | SOCIETAT% 1
TERRORISME | URBANISME I HABITATGE | ECONOMIA, COMERÇ I FINANCES | RELACIONS INTERNACIONALS% 1
RELIGIÓ | TRANSPORTS I COMUNICACIONS% 1
TRANSPORTS I COMUNICACIONS | RELIGIÓ% 1
CULTURA | TERRORISME% 1
TERRORISME | ECONOMIA, COMERÇ I FINANCES% 1
MÚSICA | GASTRONOMIA% 1
TRANSPORTS I COMUNICACIONS | TRANSPORTS I COMUNICACIONS% 1
JUSTÍCIA I ORDRE  PÚBLIC | POLÍTICA | ACCIDENTS I CATÀSTROFES% 1
DEFENSA | ACCIDENTS I CATÀSTROFES | POLÍTICA% 1
FENÒMENS NATURALS | MEDI AMBIENT | AGRICULTURA, RAMADERIA I PESCA% 1
ECONOMIA, COMERÇ I FINANCES | OBRES PÚBLIQUES I INFRAESTRUCTURES | MEDICINA I SANITAT% 1
ENSENYAMENT | TURISME% 1
ENERGIA | ECONOMIA, COMERÇ I FINANCES | RELACIONS INTERNACIONALS% 1
MEDICINA I SANITAT | CINEMA% 1
MÚSICA | URBANISME I HABITATGE% 1
ESPECTACLES | FESTES I TRADICIONS% 1
TERRORISME | MITJANS DE COMUNICACIÓ | JUSTÍCIA I ORDRE  PÚBLIC% 1
RELACIONS INTERNACIONALS | CULTURA% 1
TURISME | ENSENYAMENT% 1
TURISME | SOCIETAT | ECONOMIA, COMERÇ I FINANCES% 1
RELIGIÓ | INDÚSTRIA% 1
SOCIETAT | MEDI AMBIENT | POLÍTICA% 1
TREBALL | SOCIETAT | ECONOMIA, COMERÇ I FINANCES% 1
ECONOMIA, COMERÇ I FINANCES | MEDICINA I SANITAT | SOCIETAT% 1
URBANISME I HABITATGE | RECURSOS TERRITORIALS% 1
RELIGIÓ | POLÍTICA | RELACIONS INTERNACIONALS% 1
TERRORISME | LITERATURA% 1
SOCIETAT | POLÍTICA | SOCIETAT% 1
CIÈNCIA I INVESTIGACIÓ | TREBALL% 1
INDÚSTRIA | TURISME% 1
ARTS | CULTURA | RELIGIÓ% 1
TURISME | TURISME% 1
URBANISME I HABITATGE | ENERGIA% 1
SOCIETAT | ENSENYAMENT | ARTS% 1
POLÍTICA | TERRORISME | CONFLICTES ARMATS% 1
ECONOMIA, COMERÇ I FINANCES | ECONOMIA, COMERÇ I FINANCES% 1
MEDI AMBIENT | TAUROMÀQUIA% 1
JUSTÍCIA I ORDRE  PÚBLIC | ACCIDENTS I CATÀSTROFES | CONFLICTES ARMATS% 1
URBANISME I HABITATGE | RECURSOS TERRITORIALS | HISTÒRIA% 1
TREBALL | JUSTÍCIA I ORDRE  PÚBLIC | ACCIDENTS I CATÀSTROFES% 1
SOCIETAT | JUSTÍCIA I ORDRE  PÚBLIC | ECONOMIA, COMERÇ I FINANCES% 1
SOCIETAT | ECONOMIA, COMERÇ I FINANCES | ENERGIA% 1
OBRES PÚBLIQUES I INFRAESTRUCTURES | POLÍTICA | JUSTÍCIA I ORDRE  PÚBLIC | ECONOMIA, COMERÇ I FINANCES% 1
POLÍTICA | ECONOMIA, COMERÇ I FINANCES | MEDICINA I SANITAT | JUSTÍCIA I ORDRE  PÚBLIC% 1
JUSTÍCIA I ORDRE  PÚBLIC | OBRES PÚBLIQUES I INFRAESTRUCTURES | SOCIETAT% 1
TERRORISME | RECURSOS TERRITORIALS% 1
JUSTÍCIA I ORDRE  PÚBLIC | RECURSOS TERRITORIALS% 1
JUSTÍCIA I ORDRE  PÚBLIC | ACCIDENTS I CATÀSTROFES | CIÈNCIA I INVESTIGACIÓ% 1
JUSTÍCIA I ORDRE  PÚBLIC | POLÍTICA | MEDICINA I SANITAT% 1
INDÚSTRIA | RELIGIÓ% 1
ENERGIA | MEDI AMBIENT | POLÍTICA% 1
ESPORTS | POLÍTICA | ESPORTS% 1
AGRICULTURA, RAMADERIA I PESCA | MITJANS DE COMUNICACIÓ% 1
ESPORTS | ESPORTS | JUSTÍCIA I ORDRE  PÚBLIC% 1
TRANSPORTS I COMUNICACIONS | URBANISME I HABITATGE | ENERGIA% 1
ESPORTS | ESPORTS | ESPORTS | ESPORTS% 1
POLÍTICA | RELIGIÓ | SOCIETAT% 1
FENÒMENS NATURALS | HISTÒRIA% 1
RELACIONS INTERNACIONALS | JUSTÍCIA I ORDRE  PÚBLIC | TERRORISME% 1
CONFLICTES ARMATS | RELIGIÓ | CIÈNCIA I INVESTIGACIÓ | JUSTÍCIA I ORDRE  PÚBLIC% 1
ENSENYAMENT | ENSENYAMENT% 1
JUSTÍCIA I ORDRE  PÚBLIC | ACCIDENTS I CATÀSTROFES | FENÒMENS NATURALS% 1
MÚSICA | LITERATURA% 1
SOCIETAT | ECONOMIA, COMERÇ I FINANCES | MEDI AMBIENT% 1
ACCIDENTS I CATÀSTROFES | JUSTÍCIA I ORDRE  PÚBLIC | URBANISME I HABITATGE% 1
ECONOMIA, COMERÇ I FINANCES | GASTRONOMIA | FESTES I TRADICIONS% 1
ECONOMIA, COMERÇ I FINANCES | INDÚSTRIA | ENERGIA% 1
INDÚSTRIA | URBANISME I HABITATGE% 1
JUSTÍCIA I ORDRE  PÚBLIC | SOCIETAT | CIÈNCIA I INVESTIGACIÓ% 1
AGRICULTURA, RAMADERIA I PESCA | FENÒMENS NATURALS | CIÈNCIA I INVESTIGACIÓ% 1
FENÒMENS NATURALS | MITJANS DE COMUNICACIÓ% 1
MEDICINA I SANITAT | ENSENYAMENT | POLÍTICA% 1
CULTURA | HISTÒRIA | RECURSOS TERRITORIALS% 1
ECONOMIA, COMERÇ I FINANCES | OBRES PÚBLIQUES I INFRAESTRUCTURES | SOCIETAT% 1
CULTURA | HISTÒRIA | ARTS% 1
MÚSICA | ENSENYAMENT | POLÍTICA% 1
SOCIETAT | ESPORTS | MEDICINA I SANITAT% 1
JUSTÍCIA I ORDRE  PÚBLIC | RELACIONS INTERNACIONALS | TURISME% 1
POLÍTICA | TRANSPORTS I COMUNICACIONS | OBRES PÚBLIQUES I INFRAESTRUCTURES% 1
POLÍTICA | ECONOMIA, COMERÇ I FINANCES | TREBALL% 1
ENSENYAMENT | LITERATURA% 1
TREBALL | ENSENYAMENT | ECONOMIA, COMERÇ I FINANCES% 1
FESTES I TRADICIONS | HISTÒRIA | CINEMA% 1
ACCIDENTS I CATÀSTROFES | OBRES PÚBLIQUES I INFRAESTRUCTURES | TRANSPORTS I COMUNICACIONS% 1
TREBALL | INDÚSTRIA | JUSTÍCIA I ORDRE  PÚBLIC% 1
ECONOMIA, COMERÇ I FINANCES | HISTÒRIA% 1
TURISME | TRANSPORTS I COMUNICACIONS | FESTES I TRADICIONS% 1
JUSTÍCIA I ORDRE  PÚBLIC | URBANISME I HABITATGE | ECONOMIA, COMERÇ I FINANCES% 1
CONFLICTES ARMATS | DEFENSA | JUSTÍCIA I ORDRE  PÚBLIC% 1
ESPORTS | GASTRONOMIA | ECONOMIA, COMERÇ I FINANCES% 1
MEDICINA I SANITAT | TAUROMÀQUIA% 1
AGRICULTURA, RAMADERIA I PESCA | LITERATURA% 1
ECONOMIA, COMERÇ I FINANCES | ECONOMIA, COMERÇ I FINANCES | INDÚSTRIA% 1
MEDI AMBIENT | RECURSOS TERRITORIALS% 1
MEDICINA I SANITAT | ACTUALITAT ROSA% 1
LITERATURA | ARTS% 1
TURISME | CULTURA | RECURSOS TERRITORIALS% 1
CULTURA | CIÈNCIA I INVESTIGACIÓ% 1
TURISME | TAUROMÀQUIA% 1
ARTS | RELIGIÓ | RECURSOS TERRITORIALS% 1
HISTÒRIA | RELIGIÓ% 1
POLÍTICA | OBRES PÚBLIQUES I INFRAESTRUCTURES | MEDICINA I SANITAT% 1
ESPORTS | ENERGIA% 1
ESPECTACLES | RELIGIÓ | FESTES I TRADICIONS% 1
ARTS | FENÒMENS NATURALS% 1
ESPECTACLES | MÚSICA | ECONOMIA, COMERÇ I FINANCES% 1
DEFENSA | TURISME% 1
CINEMA | TURISME% 1
AGRICULTURA, RAMADERIA I PESCA | AGRICULTURA, RAMADERIA I PESCA% 1
FENÒMENS NATURALS | ENERGIA | POLÍTICA% 1
POLÍTICA | FENÒMENS NATURALS | ENERGIA% 1
FENÒMENS NATURALS | ENERGIA | JUSTÍCIA I ORDRE  PÚBLIC% 1
GASTRONOMIA | CULTURA% 1
FESTES I TRADICIONS | SOCIETAT | RELIGIÓ% 1
JUSTÍCIA I ORDRE  PÚBLIC | POLÍTICA | TREBALL% 1
ESPORTS | MITJANS DE COMUNICACIÓ | TREBALL% 1
CONFLICTES ARMATS | ENERGIA% 1
TREBALL | OBRES PÚBLIQUES I INFRAESTRUCTURES% 1
SOCIETAT | POLÍTICA | ECONOMIA, COMERÇ I FINANCES% 1
OBRES PÚBLIQUES I INFRAESTRUCTURES | MEDI AMBIENT | POLÍTICA% 1
ECONOMIA, COMERÇ I FINANCES | SOCIETAT | MITJANS DE COMUNICACIÓ% 1
AGRICULTURA, RAMADERIA I PESCA | CIÈNCIA I INVESTIGACIÓ | POLÍTICA% 1
POLÍTICA | SOCIETAT | RELIGIÓ% 1
OBRES PÚBLIQUES I INFRAESTRUCTURES | MEDI AMBIENT | AGRICULTURA, RAMADERIA I PESCA% 1
JUSTÍCIA I ORDRE  PÚBLIC | ECONOMIA, COMERÇ I FINANCES | MITJANS DE COMUNICACIÓ% 1
JUSTÍCIA I ORDRE  PÚBLIC | TERRORISME | POLÍTICA% 1
MEDI AMBIENT | ACCIDENTS I CATÀSTROFES | JUSTÍCIA I ORDRE  PÚBLIC% 1
MITJANS DE COMUNICACIÓ | GASTRONOMIA% 1
HISTÒRIA | MÚSICA% 1
ACCIDENTS I CATÀSTROFES | POLÍTICA | ENSENYAMENT% 1
POLÍTICA | OBRES PÚBLIQUES I INFRAESTRUCTURES | AGRICULTURA, RAMADERIA I PESCA% 1
RELACIONS INTERNACIONALS | DEFENSA | RELACIONS INTERNACIONALS% 1
CULTURA | OBRES PÚBLIQUES I INFRAESTRUCTURES | ARTS% 1
SOCIETAT | DEFENSA | HISTÒRIA% 1
ACCIDENTS I CATÀSTROFES | RELACIONS INTERNACIONALS | ARTS% 1
ACCIDENTS I CATÀSTROFES | TRANSPORTS I COMUNICACIONS | OBRES PÚBLIQUES I INFRAESTRUCTURES% 1
ECONOMIA, COMERÇ I FINANCES | TRANSPORTS I COMUNICACIONS | OBRES PÚBLIQUES I INFRAESTRUCTURES% 1
OBRES PÚBLIQUES I INFRAESTRUCTURES | ENERGIA | POLÍTICA% 1
ECONOMIA, COMERÇ I FINANCES | CINEMA | SOCIETAT% 1
SOCIETAT | MEDI AMBIENT | TURISME% 1
ENSENYAMENT | SOCIETAT | RELACIONS INTERNACIONALS% 1
ECONOMIA, COMERÇ I FINANCES | TREBALL | TURISME% 1
SOCIETAT | ARTS | ARTS | TURISME% 1
URBANISME I HABITATGE | ESPECTACLES% 1
POLÍTICA | ESPORTS | MÚSICA% 1
TURISME | SOCIETAT | RELIGIÓ% 1
URBANISME I HABITATGE | HISTÒRIA | CULTURA% 1
ENERGIA | MEDI AMBIENT | OBRES PÚBLIQUES I INFRAESTRUCTURES% 1
TURISME | SOCIETAT | ESPORTS% 1
RECURSOS TERRITORIALS | POLÍTICA | SOCIETAT% 1
OBRES PÚBLIQUES I INFRAESTRUCTURES | URBANISME I HABITATGE | POLÍTICA% 1
CONFLICTES ARMATS | CINEMA% 1
ECONOMIA, COMERÇ I FINANCES | OBRES PÚBLIQUES I INFRAESTRUCTURES | TRANSPORTS I COMUNICACIONS% 1
ECONOMIA, COMERÇ I FINANCES | RELACIONS INTERNACIONALS | RELACIONS INTERNACIONALS% 1
JUSTÍCIA I ORDRE  PÚBLIC | SOCIETAT | MITJANS DE COMUNICACIÓ% 1
SOCIETAT | FESTES I TRADICIONS | MÚSICA% 1
CINEMA | ARTS% 1
MEDI AMBIENT | OBRES PÚBLIQUES I INFRAESTRUCTURES | SOCIETAT% 1
TREBALL | SOCIETAT | JUSTÍCIA I ORDRE  PÚBLIC% 1
RELIGIÓ | SOCIETAT | POLÍTICA% 1
CULTURA | SOCIETAT | CINEMA% 1
ENSENYAMENT | SOCIETAT | POLÍTICA% 1
MEDI AMBIENT | POLÍTICA | TRANSPORTS I COMUNICACIONS% 1
OBRES PÚBLIQUES I INFRAESTRUCTURES | ESPORTS | TREBALL% 1
JUSTÍCIA I ORDRE  PÚBLIC | TRANSPORTS I COMUNICACIONS | ACCIDENTS I CATÀSTROFES% 1
JUSTÍCIA I ORDRE  PÚBLIC | CULTURA | HISTÒRIA% 1
POLÍTICA | OBRES PÚBLIQUES I INFRAESTRUCTURES | URBANISME I HABITATGE% 1
TURISME | ARTS | SOCIETAT% 1
HISTÒRIA | CULTURA | CIÈNCIA I INVESTIGACIÓ% 1
JUSTÍCIA I ORDRE  PÚBLIC | ACCIDENTS I CATÀSTROFES | POLÍTICA | CIÈNCIA I INVESTIGACIÓ% 1
TURISME | JUSTÍCIA I ORDRE  PÚBLIC | TRANSPORTS I COMUNICACIONS% 1
ACCIDENTS I CATÀSTROFES | JUSTÍCIA I ORDRE  PÚBLIC | TERRORISME | CULTURA | POLÍTICA% 1
ESPORTS | SOCIETAT | POLÍTICA% 1
CULTURA | TRANSPORTS I COMUNICACIONS% 1
ESPECTACLES | CINEMA% 1
HISTÒRIA | MEDI AMBIENT% 1
ESPORTS | ESPORTS | ACCIDENTS I CATÀSTROFES% 1
ACCIDENTS I CATÀSTROFES | TRANSPORTS I COMUNICACIONS | TREBALL% 1
DEFENSA | RELACIONS INTERNACIONALS | RELACIONS INTERNACIONALS% 1
RELACIONS INTERNACIONALS | RELACIONS INTERNACIONALS | ECONOMIA, COMERÇ I FINANCES% 1
CONFLICTES ARMATS | RELACIONS INTERNACIONALS | DEFENSA% 1
SOCIETAT | CULTURA | ENSENYAMENT% 1
MITJANS DE COMUNICACIÓ | ECONOMIA, COMERÇ I FINANCES% 1
FENÒMENS NATURALS | OBRES PÚBLIQUES I INFRAESTRUCTURES | POLÍTICA% 1
ACTUALITAT ROSA | CIÈNCIA I INVESTIGACIÓ% 1
TURISME | SOCIETAT | MEDI AMBIENT% 1
MEDI AMBIENT | INDÚSTRIA | ECONOMIA, COMERÇ I FINANCES% 1
JUSTÍCIA I ORDRE  PÚBLIC | POLÍTICA | URBANISME I HABITATGE% 1
JUSTÍCIA I ORDRE  PÚBLIC | RELACIONS INTERNACIONALS | RELACIONS INTERNACIONALS% 1
TURISME | MEDI AMBIENT | CULTURA% 1
AGRICULTURA, RAMADERIA I PESCA | TRANSPORTS I COMUNICACIONS | OBRES PÚBLIQUES I INFRAESTRUCTURES% 1
ACCIDENTS I CATÀSTROFES | FENÒMENS NATURALS | DEFENSA% 1
DEFENSA | TRANSPORTS I COMUNICACIONS% 1
MEDI AMBIENT | RELACIONS INTERNACIONALS% 1
FENÒMENS NATURALS | ACCIDENTS I CATÀSTROFES | DEFENSA% 1
ESPECTACLES | POLÍTICA% 1
POLÍTICA | TERRORISME | RELACIONS INTERNACIONALS% 1
MEDI AMBIENT | POLÍTICA | URBANISME I HABITATGE% 1
FESTES I TRADICIONS | MEDI AMBIENT | SOCIETAT% 1
ACCIDENTS I CATÀSTROFES | SOCIETAT | OBRES PÚBLIQUES I INFRAESTRUCTURES% 1
JUSTÍCIA I ORDRE  PÚBLIC | OBRES PÚBLIQUES I INFRAESTRUCTURES | TURISME% 1
OBRES PÚBLIQUES I INFRAESTRUCTURES | ARTS | URBANISME I HABITATGE% 1
ARTS | CULTURA | HISTÒRIA% 1
SOCIETAT | OBRES PÚBLIQUES I INFRAESTRUCTURES | TRANSPORTS I COMUNICACIONS% 1
OBRES PÚBLIQUES I INFRAESTRUCTURES | JUSTÍCIA I ORDRE  PÚBLIC | TURISME% 1
HISTÒRIA | SOCIETAT | CULTURA% 1
POLÍTICA | ECONOMIA, COMERÇ I FINANCES | CIÈNCIA I INVESTIGACIÓ% 1
MEDICINA I SANITAT | CIÈNCIA I INVESTIGACIÓ | POLÍTICA% 1
POLÍTICA | CIÈNCIA I INVESTIGACIÓ | MEDICINA I SANITAT% 1
SOCIETAT | INDÚSTRIA | AGRICULTURA, RAMADERIA I PESCA% 1
CINEMA | MITJANS DE COMUNICACIÓ | SOCIETAT% 1
SOCIETAT | MITJANS DE COMUNICACIÓ | JUSTÍCIA I ORDRE  PÚBLIC% 1
RELACIONS INTERNACIONALS | TERRORISME | JUSTÍCIA I ORDRE  PÚBLIC% 1
JUSTÍCIA I ORDRE  PÚBLIC | TERRORISME | RELACIONS INTERNACIONALS% 1
ENSENYAMENT | MÚSICA | TRANSPORTS I COMUNICACIONS% 1
URBANISME I HABITATGE | ECONOMIA, COMERÇ I FINANCES | JUSTÍCIA I ORDRE  PÚBLIC% 1
RELACIONS INTERNACIONALS | CONFLICTES ARMATS | TREBALL% 1
CONFLICTES ARMATS | JUSTÍCIA I ORDRE  PÚBLIC | DEFENSA% 1
JUSTÍCIA I ORDRE  PÚBLIC | MITJANS DE COMUNICACIÓ | SOCIETAT% 1
RELIGIÓ | SOCIETAT | FESTES I TRADICIONS% 1
SOCIETAT | CIÈNCIA I INVESTIGACIÓ | OBRES PÚBLIQUES I INFRAESTRUCTURES% 1
SOCIETAT | TRANSPORTS I COMUNICACIONS | TURISME | FESTES I TRADICIONS% 1
ESPORTS | MITJANS DE COMUNICACIÓ | SOCIETAT% 1
ECONOMIA, COMERÇ I FINANCES | SOCIETAT | JUSTÍCIA I ORDRE  PÚBLIC% 1
FESTES I TRADICIONS | ESPECTACLES | RELIGIÓ% 1
CONFLICTES ARMATS | JUSTÍCIA I ORDRE  PÚBLIC | TERRORISME% 1
SOCIETAT | FESTES I TRADICIONS | ACCIDENTS I CATÀSTROFES% 1
POLÍTICA | INDÚSTRIA | ECONOMIA, COMERÇ I FINANCES% 1
POLÍTICA | JUSTÍCIA I ORDRE  PÚBLIC | URBANISME I HABITATGE% 1
JUSTÍCIA I ORDRE  PÚBLIC | SOCIETAT | RELACIONS INTERNACIONALS | CONFLICTES ARMATS% 1
MEDICINA I SANITAT | INDÚSTRIA | CIÈNCIA I INVESTIGACIÓ% 1
MEDICINA I SANITAT | SOCIETAT | CONFLICTES ARMATS% 1
RELACIONS INTERNACIONALS | ECONOMIA, COMERÇ I FINANCES | POLÍTICA% 1
CIÈNCIA I INVESTIGACIÓ | ACCIDENTS I CATÀSTROFES% 1
SOCIETAT | FESTES I TRADICIONS | TURISME% 1
URBANISME I HABITATGE | JUSTÍCIA I ORDRE  PÚBLIC | MEDI AMBIENT% 1
POLÍTICA | SOCIETAT | TREBALL% 1
JUSTÍCIA I ORDRE  PÚBLIC | POLÍTICA | FESTES I TRADICIONS% 1
ENSENYAMENT | SOCIETAT | JUSTÍCIA I ORDRE  PÚBLIC% 1
URBANISME I HABITATGE | ECONOMIA, COMERÇ I FINANCES | SOCIETAT% 1
SOCIETAT | MITJANS DE COMUNICACIÓ | MEDI AMBIENT% 1
FENÒMENS NATURALS | ACCIDENTS I CATÀSTROFES | MEDI AMBIENT% 1
JUSTÍCIA I ORDRE  PÚBLIC | DEFENSA | POLÍTICA% 1
SOCIETAT | MEDICINA I SANITAT | ENSENYAMENT | JUSTÍCIA I ORDRE  PÚBLIC% 1
ECONOMIA, COMERÇ I FINANCES | POLÍTICA | TRANSPORTS I COMUNICACIONS% 1
SOCIETAT | CINEMA | ACCIDENTS I CATÀSTROFES% 1
MEDICINA I SANITAT | AGRICULTURA, RAMADERIA I PESCA | JUSTÍCIA I ORDRE  PÚBLIC% 1
URBANISME I HABITATGE | TRANSPORTS I COMUNICACIONS | MEDI AMBIENT% 1
ECONOMIA, COMERÇ I FINANCES | SOCIETAT | TERRORISME% 1
OBRES PÚBLIQUES I INFRAESTRUCTURES | FESTES I TRADICIONS | MEDI AMBIENT% 1
JUSTÍCIA I ORDRE  PÚBLIC | TERRORISME | ESPORTS% 1
SOCIETAT | ESPECTACLES | CINEMA% 1
JUSTÍCIA I ORDRE  PÚBLIC | ACCIDENTS I CATÀSTROFES | OBRES PÚBLIQUES I INFRAESTRUCTURES% 1
CIÈNCIA I INVESTIGACIÓ | ACCIDENTS I CATÀSTROFES | MEDI AMBIENT% 1
SOCIETAT | CINEMA | MÚSICA% 1
CONFLICTES ARMATS | ACCIDENTS I CATÀSTROFES | RELACIONS INTERNACIONALS% 1
SOCIETAT | MÚSICA | JUSTÍCIA I ORDRE  PÚBLIC% 1
ACCIDENTS I CATÀSTROFES | TERRORISME | JUSTÍCIA I ORDRE  PÚBLIC% 1
CONFLICTES ARMATS | MEDI AMBIENT | CIÈNCIA I INVESTIGACIÓ% 1
ECONOMIA, COMERÇ I FINANCES | URBANISME I HABITATGE | TURISME% 1
MITJANS DE COMUNICACIÓ | TURISME | TRANSPORTS I COMUNICACIONS% 1
ENSENYAMENT | OBRES PÚBLIQUES I INFRAESTRUCTURES | CULTURA% 1
OBRES PÚBLIQUES I INFRAESTRUCTURES | TURISME | MEDICINA I SANITAT% 1
TRANSPORTS I COMUNICACIONS | TURISME | ECONOMIA, COMERÇ I FINANCES% 1
OBRES PÚBLIQUES I INFRAESTRUCTURES | ENERGIA% 1
RELACIONS INTERNACIONALS | RELIGIÓ | TREBALL% 1
OBRES PÚBLIQUES I INFRAESTRUCTURES | POLÍTICA | AGRICULTURA, RAMADERIA I PESCA% 1
ACCIDENTS I CATÀSTROFES | JUSTÍCIA I ORDRE  PÚBLIC | MEDI AMBIENT% 1
ACCIDENTS I CATÀSTROFES | JUSTÍCIA I ORDRE  PÚBLIC | TERRORISME% 1
MITJANS DE COMUNICACIÓ | ARTS% 1
ENSENYAMENT | AGRICULTURA, RAMADERIA I PESCA | FESTES I TRADICIONS% 1
DEFENSA | CONFLICTES ARMATS | TERRORISME | JUSTÍCIA I ORDRE  PÚBLIC% 1
ECONOMIA, COMERÇ I FINANCES | MEDICINA I SANITAT | OBRES PÚBLIQUES I INFRAESTRUCTURES% 1
INDÚSTRIA | TREBALL | POLÍTICA% 1
POLÍTICA | JUSTÍCIA I ORDRE  PÚBLIC | ACCIDENTS I CATÀSTROFES | CONFLICTES ARMATS% 1
ESPORTS | SOCIETAT | ECONOMIA, COMERÇ I FINANCES% 1
RELACIONS INTERNACIONALS | MITJANS DE COMUNICACIÓ% 1
MEDI AMBIENT | SOCIETAT | TRANSPORTS I COMUNICACIONS% 1
POLÍTICA | ECONOMIA, COMERÇ I FINANCES | RELACIONS INTERNACIONALS% 1
POLÍTICA | RELIGIÓ | FENÒMENS NATURALS | ACCIDENTS I CATÀSTROFES% 1
CONFLICTES ARMATS | RELACIONS INTERNACIONALS | MEDICINA I SANITAT% 1
CONFLICTES ARMATS | POLÍTICA | JUSTÍCIA I ORDRE  PÚBLIC% 1
ARTS | MITJANS DE COMUNICACIÓ | SOCIETAT% 1
POLÍTICA | JUSTÍCIA I ORDRE  PÚBLIC | CONFLICTES ARMATS% 1
FESTES I TRADICIONS | CINEMA% 1
DEFENSA | JUSTÍCIA I ORDRE  PÚBLIC | TERRORISME% 1
POLÍTICA | ENERGIA | JUSTÍCIA I ORDRE  PÚBLIC% 1
POLÍTICA | MEDI AMBIENT | TURISME% 1
CIÈNCIA I INVESTIGACIÓ | CINEMA | JUSTÍCIA I ORDRE  PÚBLIC% 1
MITJANS DE COMUNICACIÓ | TAUROMÀQUIA% 1
OBRES PÚBLIQUES I INFRAESTRUCTURES | SOCIETAT | ENSENYAMENT% 1
OBRES PÚBLIQUES I INFRAESTRUCTURES | TRANSPORTS I COMUNICACIONS | RELIGIÓ% 1
ACCIDENTS I CATÀSTROFES | CONFLICTES ARMATS | JUSTÍCIA I ORDRE  PÚBLIC% 1
SOCIETAT | OBRES PÚBLIQUES I INFRAESTRUCTURES | CULTURA | ENSENYAMENT% 1
GASTRONOMIA | MEDI AMBIENT | AGRICULTURA, RAMADERIA I PESCA% 1
TRANSPORTS I COMUNICACIONS | SOCIETAT | JUSTÍCIA I ORDRE  PÚBLIC% 1
MEDI AMBIENT | TURISME | POLÍTICA% 1
INDÚSTRIA | OBRES PÚBLIQUES I INFRAESTRUCTURES% 1
ACCIDENTS I CATÀSTROFES | TRANSPORTS I COMUNICACIONS | JUSTÍCIA I ORDRE  PÚBLIC% 1
ARTS | RELIGIÓ | OBRES PÚBLIQUES I INFRAESTRUCTURES% 1
JUSTÍCIA I ORDRE  PÚBLIC | TRANSPORTS I COMUNICACIONS | ECONOMIA, COMERÇ I FINANCES% 1
SOCIETAT | TURISME | OBRES PÚBLIQUES I INFRAESTRUCTURES% 1
RELACIONS INTERNACIONALS | ACCIDENTS I CATÀSTROFES% 1
ENSENYAMENT | MITJANS DE COMUNICACIÓ | CULTURA% 1
ACCIDENTS I CATÀSTROFES | JUSTÍCIA I ORDRE  PÚBLIC | DEFENSA% 1
FESTES I TRADICIONS | HISTÒRIA | RELIGIÓ% 1
MEDI AMBIENT | TRANSPORTS I COMUNICACIONS | JUSTÍCIA I ORDRE  PÚBLIC% 1
POLÍTICA | TURISME | MEDI AMBIENT% 1
POLÍTICA | MEDI AMBIENT | ECONOMIA, COMERÇ I FINANCES% 1
CONFLICTES ARMATS | POLÍTICA | ACCIDENTS I CATÀSTROFES% 1
HISTÒRIA | ACCIDENTS I CATÀSTROFES | TRANSPORTS I COMUNICACIONS | DEFENSA% 1
TREBALL | TERRORISME | JUSTÍCIA I ORDRE  PÚBLIC% 1
ACCIDENTS I CATÀSTROFES | CONFLICTES ARMATS | POLÍTICA% 1
INDÚSTRIA | CIÈNCIA I INVESTIGACIÓ | MEDI AMBIENT% 1
JUSTÍCIA I ORDRE  PÚBLIC | CONFLICTES ARMATS | FENÒMENS NATURALS | ACCIDENTS I CATÀSTROFES% 1
POLÍTICA | SOCIETAT | RECURSOS TERRITORIALS% 1
CONFLICTES ARMATS | RELACIONS INTERNACIONALS | JUSTÍCIA I ORDRE  PÚBLIC% 1
ESPECTACLES | ESPORTS | MÚSICA% 1
MEDICINA I SANITAT | AGRICULTURA, RAMADERIA I PESCA | RELACIONS INTERNACIONALS% 1
TRANSPORTS I COMUNICACIONS | AGRICULTURA, RAMADERIA I PESCA | ECONOMIA, COMERÇ I FINANCES% 1
ARTS | ACCIDENTS I CATÀSTROFES% 1
CIÈNCIA I INVESTIGACIÓ | GASTRONOMIA% 1
